حاکمیت داده	Data governance
حاکمیت سازمانی	Corporate governance
حاکمیت معرف	Introducer governance
حاکمیت معرف: مجاز	Introducer governance: allowed
حاکمیت معرف: مسدود	Introducer governance: blocked
حداقل دو نویسه برای جستجو وارد کنید.	Enter at least two characters to search.
حداقل ۱۲ کاراکتر	At least 12 characters
حداقل ۱۲ کاراکتر — ترکیبی از حروف و اعداد توصیه می‌شود.	At least 12 characters — a mix of letters and digits is recommended.
حداکثر دو جلسهٔ مقدماتی؛ نتیجه حداکثر در ۳۰ روز ثبت شود.	At most two introductory meetings; outcome to be recorded within 30 days.
حداکثر پرش	Max hops
حذف	Delete
حذف اقدام	Delete action
حذف این مورد انجام شود؟	Delete this item?
حذف برای همیشه	Delete permanently
حذف تنظیم دستی	Remove manual override
حذف جستجوی ذخیره‌شده «	Delete saved search "
حذف صحنه	Delete scene
حذف صحنهٔ	Delete scene
حریم خصوصی	Privacy
حساب شما ایمیل ندارد.	Your account has no email.
حساب شما مجوز واردکردن داده را ندارد؛ ابزار پیش‌ثبت برای نقش‌های دارای مجوز فعال است.	Your account lacks the data-import permission; the pre-commit tool is enabled for permitted roles only.
حساب طبق سیاست‌های سرور ایجاد می‌شود و پس از تأیید، فعال خواهد شد.	Accounts are created per server policy and activated after approval.
حساب کاربری	Account
حساب کاربری ندارید؟	Don't have an account?
حساب‌ها	Accounts
حقوق داده	Data rights
حقوق داده و حریم خصوصی	Data rights & privacy
حوزهٔ اصلی · پروفایل رابطه	Core domain · Relationship profile
خانه	Home
خروج امن	Secure sign-out
خروجی	Export
خروجی داده	Data export
خروجی صحنه	Export scene
خروجی مورد انتظار از این جلسه چیست؟	What is the expected outcome of this meeting?
خصوصی	Private
خط · سیاهه روابط	Line · relationship ledger
خط زمانی	Timeline
خط زمانی رابطه	Relationship timeline
خط قرمز	Red line
خط قرمز (ممنوع)	Red line (forbidden)
خطا	Error
خطا در دریافت جستجوهای ذخیره‌شده	Failed to load saved searches
خطا:	Error:
خطای غیرمنتظره	Unexpected error
خطای مسیر	Path error
خط‌مشی‌ها، پرچم‌ها و خروجی‌ها	Policies, flags & exports
خفته	Dormant
خلاصه	Summary
خلاصه راهبردی هفته جاری را آماده کن	Prepare this week's strategic summary
خلاصه هوشمند	Smart summary
خلاصهٔ	Summary of
خلاصهٔ آمادگی برای جلسه: هدف، شرکت‌کنندگان، اقدامات	Meeting readiness summary: objective, participants, actions
خلاصهٔ جلسه	Meeting summary
خلاصهٔ دوره‌ای	Periodic digest
خلاصهٔ دوره‌ای ارسال نشد.	Periodic digest was not sent.
خلاصهٔ دوره‌ای فعال است	Periodic digest is on
خلاصهٔ روزانه	Daily digest
خلاصهٔ فعال	Active digest
خلاصهٔ هفتگی	Weekly digest
خنثی	Neutral
خواب	Sleep
خواسته‌نشده	Unsolicited
خواندن همه	Mark all as read
خوانده‌نشده	Unread
خودِ شرکت	Own company
خودِ شرکت در مرکز؛ کلیک روی هر سازمان = زیرمجموعه‌ها و روابط آن	Your own company at the center; click any organization for its subsidiaries and relationships
خیر	No
دائمی (تا لغو)	Permanent (until revoked)
داخلی	Internal
داده تازه‌سازی می‌شود	Data refreshes
داده فقط از API مجاز سرور خوانده می‌شود.	Data is read only through the server's permitted API.
داده و کیفیت	Data & quality
داده و یکپارچه‌سازی	Data & integration
داده کافی نیست	Not enough data
دادهٔ زنده از سرور — فقط در محدودهٔ دسترسی شما	Live data from the server — only within your permitted scope
دادهٔ ساختار در دسترس نیست	Structure data unavailable
دادهٔ سرمایهٔ شبکه در دسترس نیست	Network capital data unavailable
دادهٔ شاخص راهبردی در دسترس نیست	Strategic indicator data unavailable
دادهٔ مبنایی	Master data
داده‌ای برای این Scope در دسترس نیست.	No data available for this scope.
داده‌ای برای این Scope وجود ندارد.	No data exists for this scope.
داده‌ای برای این تحلیل یافت نشد.	No data found for this analysis.
داده‌ای برای نمایش وجود ندارد.	Nothing to display.
داده‌ای ثبت نشده است.	Nothing recorded yet.
داده‌ای وجود ندارد.	No data.
داده‌شده	given
داده‌ها	Data
