نهاد/تنظیم‌گر	Institution/Regulator
نهاد/تنظیم‌گر/رسانه — شکل‌دهندهٔ بازار	Institution/Regulator/Media — market shapers
نهادی و حاکمیتی	Institutional & governance
نوع	Type
نوع / وضعیت	Type / status
نوع تماس	Contact type
نوع رابطه	Relationship type
نوع رابطه *	Relationship type *
نوع رابطه:	Relationship type:
نوع رویداد	Event type
نوع سازمان	Organization type
نوع نهاد	Entity type
نوع و جنسیت بازار	Type & market kind
نوع واحد	Unit type
نگهداری	Retention
نگهداری داده	Data retention
نیازمند تأیید انسانی قبل از ایجاد رکورد	Requires human confirmation before creating a record
نیازمند تصمیم	Needs a decision
نیازمند توجه	Needs attention
نیازمند پیگیری	Needs follow-up
نیازمندی‌ها	Requirements
نیازمندی‌های پروژه‌ها	Project requirements
نیازی به تأیید ندارد	No confirmation needed
نیست	isn't
هدف	Objective
هدف جلسه	Meeting objective
هدف پروژه	Project objective
هدف کیدنس: هر	Cadence target: every
هدف:	Objective:
هدف، موضوعات مجاز، خط قرمزها و مرزها را روشن کنید — پذیرنده دقیقاً می‌داند چه کند و چه نکند. پس از ثبت، ممیزی پیش از پذیرش خودکار اجرا می‌شود.	State the objective, allowed topics, red lines and boundaries — the recipient knows exactly what to do and not to do. After saving, the pre-acceptance audit runs automatically.
هدفِ معرفی (چرا این معرفی؟)	Introduction objective (why this introduction?)
هر آیتم منو نیز با نگه‌داشتن نشانگر، توضیح کوتاه نشان می‌دهد.	Hovering any menu item also shows a short explanation.
هر اقدام با مالک، اولویت، موعد و زمینهٔ رابطه — عقب‌افتاده‌ها و بحرانی‌ها در یک نگاه.	Every action with owner, priority, due date and relationship context — overdue and critical at a glance.
هر تماس/جلسه/مکاتبه‌ای که روی یک رابطه رخ داده است	Every call/meeting/correspondence that happened on a relationship
هر رابطه با امتیاز، ریسک و ارزش استراتژیک رصد می‌شود.	Every relationship is tracked with score, risk and strategic value.
هر سگمنت بازار یک «نقطهٔ ورود» می‌خواهد. روابط	Every market segment needs an "entry point". Relationships
هر عدد یک «چرا» دارد	Every number has a "why"
هر معرفی با دستورالعملِ هدف و خط قرمز ثبت می‌شود؛ پیش از پذیرش ممیزی (سلامت رابطه، مقصد، تکرار، کامل بودن دستور) و پس از آن پیگیری/نتیجه/اثر بر رابطه اجرا می‌شود تا معرفی رابطه را خراب نکند.	Every referral is recorded with objective instructions and red lines; before acceptance an audit runs (relationship health, target, repetition, instruction completeness) and after it follow-up/outcome/impact — so introductions never damage the relationship.
هر مقدار با منبع، سطح اطمینان و تاریخ تأیید انسانی	Every value with source, confidence level and human-confirmation date
هر پیشنهاد با شاهد از منبع و سطح اطمینان نمایش داده می‌شود؛ پذیرش، مقدار را با برچسب منبع در پروفایل سازمان ثبت می‌کند.	Every suggestion shows source evidence and confidence; accepting records the value into the organization profile with a source tag.
هسته	Core
هشت مؤلفهٔ سلامت — از موتور امتیازدهی	Eight health components — from the scoring engine
هشدار	Alert
هشدار ·	Alert ·
هشدار بحرانی	Critical alert
هشدار ورودی‌ها	Entry alerts
هشدار).	alert).
هشدارها	Alerts
هشدارها:	Alerts:
هشدارهای روابط	Relationship alerts
هشدارهای شبکه — بازاری و غیربازاری	Network alerts — market and non-market
هشدارهای هوشمند — بازاری / غیربازاری و نقاط ورود	Smart alerts — market / non-market and entry points
هشدارهای یکپارچه —	Unified alerts —
هشدارهای یکپارچه — همهٔ سیگنال‌ها در یک نگاه	Unified alerts — all signals at a glance
هفتگی	Weekly
هلدینگ	Holding
هلدینگ‌ها	Holdings
هلدینگ‌های بزرگ	Major holdings
هماهنگ جهانی (UTC)	Coordinated Universal Time (UTC)
همه	All
همه انواع رابطه	All relationship types
همه بارگذاری شد	All loaded
همه خوانده شد	All marked as read
همه محدوده مجاز	All permitted scope
