اقدام حذف شد.	Action deleted.
اقدام ساخته‌شده	Created action
اقدام سریع	Quick action
اقدام عقب‌افتاده	Overdue action
اقدام عقب‌افتاده:	Overdue action:
اقدام عقب‌افتاده‌ای ندارید	You have no overdue actions
اقدام:	Action:
اقدامات	Actions
اقدامات باز	Open actions
اقدامات در انتظار	Pending actions
اقدامات عقب‌افتاده	Overdue actions
اقدامات پیشنهادی:	Suggested actions:
اقداماتی که تکمیلِ این اقدام، پیش‌نیازشان است	Actions that depend on completing this one
اقدامِ عقب‌افتادهٔ «	Overdue action "
اقدامی ثبت نشده	No action recorded
اقدامی ثبت نشده است	No action recorded yet
الزام فعلی:	Current requirement:
امتیاز	Score
امتیاز برای رتبهبندی، در برابر مقایسهٔ منصفانه بین رکوردها	Score for ranking vs fair comparison between records
امتیاز راهبردی	Strategic score
امتیاز ریسک	Risk score
امتیاز سلامت	Health score
امتیاز معیار	Criteria score
امتیاز معیارها	Criteria score
امتیاز معیارها (کم‌تر اول)	Criteria score (lowest first)
امتیاز نفوذ	Influence score
امتیاز نفوذ (۰ تا ۱۰۰)	Influence score (0–100)
امتیاز هر رابطه از همان کاتالوگ معیارها ساخته شده (شواهد رفتاری + ارزیابی انسانی)؛ سلامتیِ عملیاتی هم به‌عنوان شاخص مکمل کنارش می‌ماند.	Every relationship score is built from the same criteria catalog (behavioral evidence + human assessment); operational health remains alongside it as a complementary metric.
امتیاز کیفیت	Quality score
امتیازدهی	Scoring
امتیازها دوباره محاسبه شدند.	Scores recalculated.
امتیازها نیاز به توجه دارند	Scores need attention
امتیازهای رابطه	Relationship scores
امتیازی ثبت نشده — «محاسبهٔ مجدد امتیاز» را بزنید.	No score recorded — hit "Recalculate scores".
امروز	Today
امروز در اولویت	Today's priorities
امروز چه چیزی نیازمند اقدام شماست؟ اولویت‌ها، هشدارها و جلسات پیش رو — هر عدد با دلیلی از دادهٔ واقعی.	What needs your action today? Priorities, alerts and upcoming meetings — every number backed by real data.
امن برای پذیرش	Safe to accept
امنیت	Security
امنیت حساب — تأیید دومرحله‌ای	Account security — two-factor
امنیت و حاکمیت	Security & governance
امنیت چندلایه	Layered security
امنیت چندمرحله‌ای	Multi-step security
انتخاب اقدام باز…	Select an open action…
انتخاب تاریخ شمسی	Pick a Jalali date
انتخاب تاریخ شمسی…	Pick a Jalali date…
انتخاب تاریخ و ساعت شمسی…	Pick a Jalali date & time…
انتخاب خط در گراف	Select an edge in the graph
انتخاب در گراف	Select in graph
انتخاب شد	Selected
انتخاب کنید	Select
انتخاب کنید…	Select…
انتساب سازمانی ثبت نشده است.	No organization membership recorded.
انتقال دانش ثبت شد — بریف برای	Knowledge transfer recorded — brief for
انجام شد	Done
انجام ویرایش	Apply edit
انجام ← نتیجه	Done → outcome
انجام‌شده	Completed
اندازه	Size
انصراف	Cancel
انگلیسی	English
اهمیت	Importance
اهمیت راهبردی ≥ ۶۰	Strategic importance ≥ 60
اولویت	Priority
اولویت اقدام	Action priority
اولویت بحرانی و باز	Critical and open priority
اولویت به‌روزرسانی شد.	Priority updated.
اولویت و زمان‌بندی	Priority & scheduling
اولویت‌ها و توصیه‌ها	Priorities & recommendations
اولویت‌های امروز	Today's priorities
اولین تعامل و اقدام را ثبت کنید — هوشمندی فعال می‌شود	Record your first interaction and action — intelligence turns on
اکنون	Now
اکوسیستم	Ecosystem
اکوسیستم فناوری	Technology ecosystem
اکوسیستم فناوری و صنعت	Technology & industry ecosystem
اگر حساب وجود داشته باشد، درخواست بازیابی ثبت شد.	If the account exists, a recovery request was recorded.
ایجاد	New
ایجاد جدید	Create new
ایجاد حساب کاربری	Create account
ایجاد رابطه	Create relationship
ایجاد سریع	Quick create
ایجاد شخص	Create person
ایجاد پل	Create bridge
ایجاد ← انجام	Create → done
ایجادشده توسط	Created by
ایران	Iran
ایفا شده	Fulfilled
ایمیل	Email
ایمیل خود را برای تکمیل فعال‌سازی بررسی کنید.	Check your email to finish activation.
ایمیل خود را وارد کنید؛ اگر حسابی وجود داشته باشد، لینک بازیابی برایتان ارسال می‌شود.	Enter your email; if an account exists, a recovery link will be sent to you.
ایمیل سازمانی	Work email
ایمیل یا نام کاربری	Email or username
ایمیل یکسان	Duplicate email
ایمیل‌های نامعتبر	Invalid emails
این «پیشخوان» پاسخِ «امروز چه کاری مهم است» است: اولویت‌های نیازمند اقدام، روابط در معرض ریسک و جلسات پیش رو — همه با لینک مستقیم به همان کار.	This dashboard answers "what matters today": priorities that need action, relationships at risk and upcoming meetings — each linking straight to the work.
این اقدام برای همیشه حذف می‌شود. مطمئن هستید؟	This action will be deleted permanently. Are you sure?
این اقدام برای پیشرفت به این‌ها نیاز دارد	This action needs these before it can progress
این اقدام تکمیل شده است.	This action is completed.
این اقدام تکمیل شده — دیگر باز نیست.	This action is completed — no longer open.
این اقدام در جریان است.	This action is in progress.
این اقدام مسدود است — وابستگی‌ها را بررسی کنید.	This action is blocked — check its dependencies.
این بخش یعنی چه؟	What does this section mean?
این تنظیمات روی همین مرورگر (حافظهٔ محلی) نگهداری می‌شود و به حساب شما در سرور منتقل نمی‌گردد.	These settings live in this browser (local storage) only and are not synced to your server account.
این رابطه «نقطهٔ ورود ما به بازار» است	This relationship is "our entry point to the market"
این رابطه بایگانی شود؟ از فهرست روابط فعال حذف می‌شود.	Archive this relationship? It will be removed from the active list.
این رابطه در معرض ریسک است — برای کاهش آن اقدام برنامه‌ریزی کنید.	This relationship is at risk — plan an action to reduce it.
این رابطه شکل‌دهندهٔ بازار است — مجوز/اعتبار/مانع بدون مبادلهٔ مستقیم.	This relationship shapes the market — permits/credibility/barriers without direct exchange.
