مدیر روابط	Relationship manager
مدیر شرکت	Subsidiary admin
مدیر مجاز می‌تواند موجودیت‌های اصلی را مستقیم ایجاد کند.	An authorized admin can create core entities directly.
مدیر هلدینگ	Holding admin
مدیر پروژه	Project manager
مدیر کل سیستم	Super admin
مدیریت	Management
مدیریت ارشد	Senior management
مدیریت اشخاص	People management
مدیریت داده	Data management
مدیریت روابط راهبردی	Strategic relationship management
مدیریت غنی‌سازی ←	Manage enrichment →
مدیریت نشست‌ها	Session management
مذاکره یا توافق نهایی بدون هماهنگی با واحد روابط	Final negotiation or agreement without coordinating with the relationship unit
مرتب‌سازی	Sort
مرحلهٔ چرخهٔ زندگی	Lifecycle stage
مرحلهٔ چرخهٔ زندگی به‌روزرسانی شد.	Lifecycle stage updated.
مرحله‌ای	Staged
مرزها و محدودیت‌ها	Boundaries & limits
مرزها:	Boundaries:
مرور ۹۰ روزهٔ هر حساب از دادهٔ واقعی همان مستأجر — تحرک امتیازها، تعهدات، شکاف‌ها، رسانه و نظرسنجی‌ها در یک صفحهٔ قابل ارائه و چاپ. بدون LLM؛ همهٔ اعداد قابل ردیابی به رکورد منبع‌اند.	A 90-day review of each account from that tenant's own real data — score movement, commitments, gaps, media and surveys on one presentable, printable page. No LLM; every number traces back to its source record.
مرورگر	Browser
مرکز اعلان	Notification center
مرکز اعلان‌ها	Notification center
مرکز اقدام امروز	Today's action center
مرکز داده: کیفیت، ورود و حاکمیت داده در یک نگاه	Data center: quality, ingestion and governance at a glance
مرکز دانش	Knowledge center
مرکز سیستم	System center
مرکز مدیریت	Management center
مرکز پایش	Monitoring center
مرکز: خودِ شرکت · راست: زیرمجموعه‌ها و هلدینگ‌های بزرگ · چپ: روابط مستقیم	Center: own company · right: subsidiaries and major holdings · left: direct relationships
مرکزیت	Centrality
مرکزیت PageRank	PageRank centrality
مسئول انجام	Responsible
مستأجر · آریا فناوری	Tenant · Arya Technology
مسترپلن فاز ۳/۱۸ — الگوی Affinity (۴۰+ منبع) / TSC.ai	Masterplan phase 3/18 — patterned on Affinity (40+ sources) / TSC.ai
مسترپلن فاز ۳/۲۰ — الگوی DemandFarm (نمای ده‌هزارپایی)	Masterplan phase 3/20 — patterned on DemandFarm (the ten-thousand-foot view)
مسترپلن فاز ۳/۲۱ — استقرار ترکیبی: هستهٔ استاتیک می‌ماند، سرویس اعلان اختیاری	Masterplan phase 3/21 — hybrid deployment: static core stays, notification service optional
مستقیم در زنجیرهٔ ارزش/مبادله	Directly in the value/exchange chain
مستقیماً معامله/پروژه/تأمین	Direct deal/project/supply
مسدود	Blocked
مسدود).	blocked).
مسیر	Path
مسیر (مبدأ ← مقصد)	Path (origin → target)
مسیر / تمرکز	Path / focus
مسیر در این Workspace وجود ندارد یا برای شما قابل دسترسی نیست.	This route doesn't exist in this workspace or isn't accessible to you.
مسیر را باز یا مسدود می‌کنند. هیبرید هر دو نقش را دارد.	open or block the path. Hybrid plays both roles.
مسیر سازمانی	Organizational path
مسیر سازمانی بین این دو گره یافت نشد — در دادهٔ فعلی به هم متصل نیستند (سازمان دیگری بین آن‌ها نیست).	No organizational path between these two nodes — they aren't connected in current data (no organization sits between them).
مسیر سازمانی بین دو گره انتخاب‌شده یافت نشد.	No organizational path found between the selected nodes.
مسیر سازمانی یافت شد:	Organizational path found:
مسیر سازمانی:	Organizational path:
مسیر معرفی گرم و واسطه‌ها	Warm introduction paths & intermediaries
مسیر پاک شد	Path cleared
مسیر پشتیبان	Backup path
مسیر پیشبرد «	Advance the path for "
مسیر پیشنهاد هوشمند تا نتیجه	Smart suggestion path to outcome
مسیر کوتاه/بهینه سازمانی با	Short/optimal organizational path with
مسیر گرم به فرصت‌های باز	Warm path to open opportunities
مسیر:	Path:
مسیرهای جایگزین (برای مقایسه کلیک کنید)	Alternative paths (click to compare)
مسیرهای پیشنهادی برای برقراری این ارتباط	Suggested paths to make this connection
مسیری تا این سازمان در شبکهٔ روابط شما نیست — ابتدا یک رابطهٔ میانی بسازید یا از جلسات مشترک شروع کنید.	No path to this organization in your network yet — build an intermediate relationship first, or start with shared meetings.
مسیری در ۳ پرش نیست	No path within 3 hops
مشارکت راهبردی	Strategic partnership
مشاهده	View
مشاهده و لغو نشست‌های فعال	View and revoke active sessions
مشاهده ←	View →
مشاهدهٔ	View
مشاهدهٔ رکورد	View record
مشاهدهٔ شبکه ←	View network →
مشاهده‌پذیری	Observability
مشتری	Customer
مشتری علاقه‌مند به توسعه همکاری در بازار جدید است و پیشنهاد تمدید قرارداد را داده.	The customer is interested in expanding collaboration into a new market and has proposed renewing the contract.
مشتری که پلتفرم را تحویل گرفته — فقط محدودهٔ خودش	A customer who has received the platform — their scope only
مشتق از اجرای واقعی تحلیل‌های شبکه (مرکزیت / اتصال‌دهنده‌ها / افراد پل / گلوگاه‌ها / نقاط تک‌خطا).	Derived from actually running the network analyses (centrality / connectors / bridge people / bottlenecks / single points of failure).
مشتق از داده‌های سرور	Derived from server data
مشتق‌شده — از همان گراف بارگذاری‌شده	Derived — from the very same loaded graph
مشتق‌شده — از گراف بارگذاری‌شده با مجوز واقعی	Derived — from the graph loaded with real permissions
مشخصات تکمیلی	Additional details
مشخصات رابطه	Relationship profile
معرف نپذیرفت	Introducer declined
معرف پذیرفت	Introducer accepted
معرف:	Introducer:
معرفی	Introduction
معرفی «	Introduction "
معرفی از پیشنهاد شبکه ثبت شد و به فهرست معرفیها اضافه شد —	Introduction recorded from the network suggestion and added to the referrals list —
معرفی ثبت شد اما ممیزی قرمز است — پذیرش تا رفع موارد مسدودکننده ممکن نیست.	Referral recorded but the audit is red — acceptance is not possible until blockers are resolved.
معرفی ثبت شد و ممیزی پیش از پذیرش سبز است.	Referral recorded and the pre-acceptance audit is green.
معرفی ثبت شد؛ ممیزی زرد است — موارد هشدار را در جزئیات ببینید.	Referral recorded; the audit is yellow — see the warnings in the details.
معرفی جدید	New introduction
معرفی جدید (با دستورالعمل)	New introduction (with instructions)
معرفی‌ای یافت نشد	No introduction found
معرفی‌شده	Introduced person
معرفی‌ها	Introductions
معرفی‌ها (با ممیزی)	Introductions (with audit)
معرفی‌ها و واسطه‌های رسیدن به یک سازمان	Introductions and intermediaries for reaching an organization
معلق	On hold
معیارها	Criteria
معیارهای ارزیابی	Assessment criteria
معیارهای پاسخ‌داده‌شده	Answered criteria
معیاری برای این نوع رکورد تعریف نشده است.	No criteria defined for this record type.
مقادیر موردنظر را اصلاح و ذخیره کنید.	Adjust the values and save.
مقدار	Value
مقصد	Target
مقصد مسیر	Path target
مقصد مسیر:	Path target:
مقصد — مقدار	Target — value
ملاقات برقرار شد	Meeting arranged
ممیزی	Audit
ممیزی «	Audit "
ممیزی زرد	Yellow audit
ممیزی سبز	Green audit
ممیزی قرمز	Red audit
ممیزی قرمز است؛ ابتدا موارد مسدود را رفع کنید	The audit is red; resolve the blockers first
ممیزی ندارد	No audit
ممیزی پیش	Pre-audit
ممیزی کامل	Full audit
منابع رسمی	Official sources
منابع رسمی فعال	Active official sources
منبع	Source
منبع فرصت	Opportunity source
منفی	Negative
منو	Menu
منو در «خانه‌های کاری»	Menu organized into "workspaces"
مهلت	Deadline
مهلت نتیجه (روز)	Outcome deadline (days)
مهلت هدف	Target deadline
مهم	Important
موارد کیفیت	Quality issues
موتور تحلیلی	Analytics engine
موتور قطعی + ارجاع به منبع	Deterministic engine + source references
موتور قطعی داخلی	In-house deterministic engine
موتور قطعی در حال بازیابی شواهد مجاز و تحلیل…	Deterministic engine retrieving permitted evidence and analyzing…
موتور قطعی و شفاف — بدون وابستگی به مدل خارجی.	Deterministic and transparent engine — no external model dependency.
موتور هوشمندی	Intelligence engine
مورد	Item
مورد باز	Open item
مورد بحرانی	Critical item
مورد خوانده‌نشده	Unread item
مورد در	item in
مورد دیگر	more
مورد قابل استخراجی در متن یافت نشد.	No extractable item found in the text.
مورد).	item).
موردی مطابق پرس‌وجو در محدودهٔ مجاز یافت نشد.	Nothing matching the query within your permitted scope.
موضوعات مجاز	Allowed topics
موعد	Due
موعد انجام	Due by
موعد این اقدام گذشته و هنوز باز است — پیگیری کنید.	This action is past due and still open — follow up.
موعد پیگیری	Follow-up due
موعد گذشته	Past due
موعد گذشته و باز	Past due and open
موفق	Successful
مِیشن گرم (ارکستراسیون)	Warm mission (orchestration)
مکان	Location
میانگین سلامت روابط	Average relationship health
میانگین معیارها:	Criteria average:
میزان موفقیت معرفی	Introduction success rate
میلیارد تومان	Billion IRR
ناظر	Regulator
نام	Name
نام (الف‌با)	Name (A–Z)
نام جستجو	Search name
نام جستجو نمی‌تواند خالی باشد.	Search name cannot be empty.
نام جستجوی ذخیره‌شده	Saved search name
نام جستجوی ذخیره‌شده…	Saved search name…
نام خانوادگی	Last name
نام دستگاه	Device name
نام سازمان	Organization name
نام فرصت	Opportunity name
نام نمایشی	Display name
نام و عبارت جستجوی ذخیره‌شده را به‌روزرسانی کنید.	Update the saved search's name and term.
نام و نام خانوادگی	First and last name
نام واحد	Unit name
نام پروژه	Project name
نام یکسان	Duplicate name
نام، دامنهٔ وب، شمارهٔ تماس یا شناسهٔ ثبت یکسان	Same name, web domain, phone or registration ID
نامشخص	Unknown
نامناسب بود	Was unsuitable
ناموفق	Failed
نامی که می‌خواهید ثبت کنید	A name you want to record
ناوبری اصلی	Main navigation
ناوبری سریع	Quick navigation
ناوبری فضای کاری	Workspace navigation
ناکارآمد	Ineffective
نتایج	Results
نتیجه	Outcome
نتیجهٔ معرفی «	Outcome of introduction "
نتیجهٔ نهایی	Final outcome
نتیجهٔ نهایی:	Final outcome:
نتیجهٔ پویش (۸ سنجه)	Scan results (8 metrics)
نتیجه‌ای با این فیلترها یافت نشد.	No results with these filters.
نتیجه‌ای یافت نشد	No results found
نرخ پذیرش پیشنهادها	Suggestion acceptance rate
نزدیک‌ترین اقدام بعدی	Nearest next action
نزدیک‌ترین سررسیدها:	Nearest deadlines:
نزدیک‌ترین موعد	Nearest due date
نسخه	Version
نشانگر را روی گره ببرید (کلیک = جزئیات) یا روی خط رابطه (انتخاب خط).	Hover the marker over a node (click = details) or over a relationship edge (select edge).
نشانی	Address
نشانی IP	IP address
نشانی خروجی	Export URL
نشست فعالی یافت نشد؛ انتقال به صفحهٔ ورود…	No active session found; redirecting to sign-in…
نشست‌ها	Sessions
نشست‌ها و دستگاه‌ها	Sessions & devices
نشست‌ها و دستگاه‌های من	My sessions & devices
نشست‌های فعال ورود شما در دستگاه‌ها	Your active sign-in sessions across devices
نشست‌های من	My sessions
نظرسنجی	Survey
نظرسنجی و موضع‌ها	Surveys & stances
نفوذ	Influence
نفوذ بالا	High influence
نفوذ ۸۰ و بیشتر	Influence 80 and above
نقاط تک‌خطا	Single points of failure
نقاط ورود	Entry points
نقش	Role
نقش فعال	Active role
نقش و تماس	Role & contact
نقش، دپارتمان و محدودهٔ هر عضویت.	Role, department and scope of each membership.
نقشهٔ بازار	Market map
نقشهٔ بازار در پیشخوان	Market map on the dashboard
نقشهٔ بازار — تفکیک بازاری / غیربازاری	Market map — market / non-market split
نقشهٔ بازار — کجا ورود ما به بازار است؟	Market map — where is our market entry?
نقشهٔ ذینفعان	Stakeholder map
نقشهٔ عموم‌ها: شناسنامهٔ سازمان، دسته‌بندی بازیگران و شکاف‌های اثرگذار	Publics map: organization profile, actor categories and impactful gaps
نقشهٔ گرافیکی روابط: خوشه‌ها، مسیرها و تحلیل شبکه	Graphical relationship map: clusters, paths and network analysis
نقش‌ها	Roles
نقض SLA	SLA breach
نقطهٔ ورود	Entry point
نقطهٔ ورود به بازار	Market entry point
نقطهٔ گلوگاه است (	is a bottleneck (
نمای تقویمی جلسات در محدودهٔ شما	Calendar view of meetings in your scope
نمای تمام‌صفحه	Fullscreen view
نمای سازمانی	Organization view
نمای مالک — همهٔ محدوده	Owner view — full scope
نمای هلدینگ / شرکت	Holding / company view
نمای کلی	Overview
نمای کلی شبکه	Network overview
نمایش	View
نمایش تمام‌صفحهٔ گراف	Fullscreen graph
نمایش تمام‌صفحهٔ گراف ارتباطات	Fullscreen relationship graph
نمایش در مرکز اعلان	Show in notification center
نمایش در گراف	Show in graph
نمایش همهٔ	Show all
نمایش گراف با خطا مواجه شد.	Graph rendering failed.
نمایش/عدم نمایش راهنما	Show/hide guide
نمونه پرس‌وجوهای سریع	Quick query examples
نمونه: «مریم رضایی»	Example: "Maryam Rezaei"
نمی‌دانم	I don't know
نه مؤلفهٔ سرمایهٔ شبکه — محاسبهٔ زنده توسط موتور تحلیلی	not a network-capital component — computed live by the analytics engine
