شناسهٔ پویش:	Scan ID:
شهر	City
شواهد	Evidence
شواهد بازیابی‌شده (محدودهٔ مجاز):	Evidence retrieved (permitted scope):
شکاف	Gap
شکاف بحرانی ثبت نشده است.	No critical gap recorded.
شکاف‌های بحرانی پوشش	Critical coverage gaps
شکاف‌های پوشش عمومی	Public coverage gaps
شکسته	Broken
شکستِ وزن‌دار امتیاز راهبردی روابط	Weighted breakdown of strategic relationship scores
صحنه به انتهای روایت اضافه شد.	Scene appended to the end of the narrative.
صحنهٔ	Scene
صحنهٔ بعدی	Next scene
صحنهٔ تازه	New scene
صحنهٔ قبلی	Previous scene
صف تأیید انسانی	Human confirmation queue
صفحات بازدیدشده از حافظهٔ محلی	Visited pages from local cache
صفحات مرتبط با حساب، امنیت و حریم خصوصی شما.	Pages for your account, security and privacy.
صفحه پیدا نشد	Page not found
صنعت	Industry
ضعیف‌ترین سلامت اول	Weakest health first
طبقه	Tier
طبقه‌بندی	Classification
طرف تعهد	Commitment party
طرفین رابطه	Relationship parties
عبارت جستجو	Search term
عبارت دیگری را امتحان کنید یا نوع موجودیت را تغییر دهید.	Try another term or change the entity type.
عضو	Member
عضوی ثبت نشده است.	No member recorded.
عضویت	Membership
عضویت (شخص ← سازمان)	Membership (person → organization)
عضویت (شخص→سازمان)	Membership (person → organization)
عضویتی ثبت نشده است.	No membership recorded.
عضویت‌های سازمانی	Organizational memberships
عقب	Back
عقب‌افتاده	Overdue
عقب‌افتاده است	is overdue
عقب‌افتاده‌ترین اول	Most overdue first
علامت نقطهٔ ورود برداشته شد.	Entry-point flag removed.
علامت‌گذاری خوانده	Mark as read
علمی و پژوهشی	Scientific & research
علمی، دانشگاهی و پژوهشی	Scientific, academic & research
عملیات	Operations
عمومی	Public
عموم‌ها	Publics
عنوان	Title
عنوان اقدام	Action title
عنوان اقدام الزامی است.	Action title is required.
عنوان اقدام لازم است.	Action title is required.
عنوان جلسه	Meeting title
عنوان صحنه (مثلاً: تنظیم‌گران کلیدی انرژی)	Scene title (e.g. Key energy regulators)
عنوان معرفی	Referral title
عنوان پیشنهادی	Suggested title
عنوان یا موضوع جلسه را بنویسید…	Type the meeting title or topic…
غنی‌سازی	Enrichment
غنی‌سازی از منابع رسمی	Enrichment from official sources
غنی‌سازی منابع رسمی	Official-source enrichment
غنی‌شده از منابع رسمی	Enriched from official sources
غیربازاری	Non-market
غیربازاری (عمومی)	Non-market (public)
غیربازاری — نهاد قدرت/تنظیم‌گر/رسانه (شکل‌دهندهٔ بازار)	Non-market — power/regulator/media institutions (market shapers)
غیرضروری	Not required
غیرفعال	Inactive
غیرفعال است یا ایمیل خاموش است.	is inactive or has email disabled.
فارسی	Persian
فاصلهٔ طولانی	Long gap
فرصت	Opportunity
فرصت جدید:	New opportunity:
فرصت:	Opportunity:
فرصت‌ها	Opportunities
فرصت‌های تجاری شناسایی‌شده با ارزش و احتمال	Identified commercial opportunities with value and probability
فرعی	Subsidiary
فروش	Sales
فشاری	Push
فضای کاری	Workspace
فضای کاری · اقدام	Workspace · Action
فضای کاری · رابطه‌محور	Workspace · Relationship-centric
فضای کاری · عملیات	Workspace · Operations
فضای کاری · فهرست اصلی	Workspace · Main list
فعال	Active
فعال · رضایت داده‌شده	Active · consent given
فعالیت ۳۰ روز اخیر کاربران	User activity in the last 30 days
فعالیت‌های این نشست	This session's activity
فعال‌سازی	Enable
فعال‌سازی برای محافظت از حساب در برابر ورود غیرمجاز توصیه می‌شود.	Enabling is recommended to protect your account against unauthorized sign-in.
فعال‌سازی تأیید دومرحله‌ای	Enable two-factor authentication
فعال‌سازی تأیید دومرحله‌ای با موفقیت انجام شد.	Two-factor authentication enabled successfully.
فعلاً داده‌ای از قیف پیشنهادها ثبت نشده است.	No suggestion-funnel data recorded yet.
فعلاً درخواست نمی‌پذیرد	Not accepting requests right now
فقط	Only
فقط خواندنی	Read-only
فقط دادهٔ واقعی این حساب	Only this account's real data
فقط دروازه‌های اصلی را «نقطهٔ ورود» علامت بزنید — گزارش نقشهٔ بازار و هشدارهای هوشمند دقیقاً روی همین‌ها کار می‌کنند.	Flag only the main gateways as "entry point" — the market-map report and smart alerts work precisely on those.
فقط موارد بحرانی	Critical only
فقط همین یک بار	Just this once
فهرست	List
فهرست اشخاص	People list
فهرست اشخاص با نفوذ، قدرت تصمیم و درگیریِ واقعی هر شخص (جلسات پیشِ رو، اقدامات باز و تازگی تعامل) — محدودهٔ سازمانی شما.	People list with each person's real influence, decision power and engagement (upcoming meetings, open actions, interaction freshness) — your organizational scope.
فهرست اصلی	Main list
فهرست اقدامات	Actions list
فهرست روابط	Relationships list
فهرست صحنه‌ها	Scene list
فوری	Urgent
فیلتر اولویت	Priority filter
فیلتر بازاری/غیربازاری	Market/non-market filter
فیلتر بر اساس نوع گره	Filter by node type
فیلتر دستهٔ عموم‌ها	Public category filter
فیلتر دستهٔ عموم‌ها:	Public category filter:
فیلتر دستهٔ عموم‌ها: همه	Public category filter: all
فیلتر سگمنت	Segment filter
فیلتر نوع	Type filter
فیلتر نوع رابطه	Relationship type filter
فیلتر نوع:	Type filter:
فیلتر وضعیت	Status filter
فیلتر وضعیت رابطه	Relationship status filter
فیلتر وضعیت:	Status filter:
فیلتر وضعیت: همه	Status filter: all
فیلترها اعمال شد	Filters applied
فیلترها یا عبارت جستجو را تغییر دهید.	Change the filters or search term.
فیلترهای فعال:	Active filters:
فیلدهای سفارشی	Custom fields
قابل ردیابی به رکورد منبع	Traceable to the source record
قابل لغو در هر زمان	Revocable anytime
قابل مقایسه نیست	Not comparable
قابل پاک‌سازی	Purgeable
قابلیت‌های آماده	Ready capabilities
قابلیت‌های دستیار	Assistant capabilities
قاعده‌بنیان (قطعی)	Rule-based (deterministic)
قالب ایمیل نادرست در سازمان‌ها/اشخاص	Invalid email format in organizations/people
قبلاً حساب دارید؟ ورود	Already have an account? Sign in
قدرت	Power
قدرت × نفوذ × پتانسیل	Power × influence × potential
قدرت تصمیم	Decision power
قدم بعدی «	Next step for "
قدمِ برنامه‌ریزی‌شده عقب افتاده	planned step is overdue
قدیمی‌ترین تعامل	Oldest interaction
قدیمی‌ترین جلسه	Oldest meeting
قرنطینه‌شده	Quarantined
قطعی داخلی	Deterministic in-house
قواعد اعلان	Notification rules
قواعد امتیازدهی	Scoring rules
قوانین اعلان	Notification rules
قوت	Strength
قوت پیوند	Tie strength
قول‌های بلندمدت‌تر میان طرفین با سررسید	Longer-term promises between the parties with due dates
