(بدون عبارت)	(no term)
(مبدأ)	(source)
(مقصد)	(target)
(٪	(%
) · بقیهٔ گراف کمرنگ می‌شود.	) · the rest of the graph fades.
) در گراف بارگذاری‌شده شناسایی شد.	) identified in the loaded graph.
)؛ وابستگی را تنوع ببخشید.	); diversify this dependency.
+ تماس	+ Call
+ رابطه	+ Relationship
+ سازمان	+ Organization
+ شخص	+ Person
+ واحد	+ Unit
/۱۰۰	/100
API و وب‌هوک	API & Webhooks
Esc برای بستن	Esc to close
«چه کسی چه کسی را می‌شناسد» + بستهٔ انتقال + بریف جانشین — برای خروج/جابه‌جایی بدون از دست رفتن دانش رابطه	"Who knows whom" + handover pack + successor brief — so knowledge survives departures and rotations
· آخرین تعامل	· Last interaction
· اعتماد	· Trust
· امتیاز مسیر	· Path score
· تماس اصلی	· Primary contact
· دستی	· Manual
· دپارتمان:	· Department:
· ریسک	· Risk
· سررسید	· Due
· سقف	· Cap
· سلامت	· Health
· عقب‌افتاده	· Overdue
· قابل مقایسه نیست	· Not comparable
· مالک:	· Owner:
· مسیر پرریسک	· High-risk path
· ممیزی پیش:	· Pre-audit:
· موعد	· Due
· موعد بعدی	· Next due
· میانگین	· Average
· نقش تصمیم:	· Decision role:
· نقطهٔ ورود	· Entry point
· نقطهٔ ورود به بازار	· Market entry point
· وزن	· Weight
· وضعیت غالب:	· Dominant status:
· پرریسک	· High-risk
» اقدام اصلاحی ثبت کنید	" — log a corrective action
» انجام شد.	" done.
» با منبع و سطح اطمینان ثبت شد.	" recorded with source and confidence.
» بالاست — بررسی فوری کنید	" is high — review immediately
» برنامه‌ریزی کنید	" — plan it
» به وضعیت «	" changed to "
» تغییر کرد.	" changed.
» ثبت شد.	" recorded.
» ذخیره شد.	" saved.
» را به‌روزرسانی کنید	" — update it
» را فعال کنید	" — enable it
» را پیگیری کنید	" — follow up
» رفت.	" went.
» زرد است (	" is yellow (
» سبز شد.	" turned green.
» قرمز است (	" is red (
» و «	" and "
» — این شاهد در ممیزی پس از معرفی محاسبه می‌شود.	" — this evidence is computed in the post-introduction audit.
» — پس از ثبت، ممیزی پس از معرفی (پیگیری، نتیجه، اثر بر رابطه) اجرا می‌شود.	" — after recording, the post-introduction audit (follow-up, outcome, impact on the relationship) runs.
»؟	"?
،	,
، همراه با هشدارهای هوشمند.	, with smart alerts.
؛	;
؟	?
آخرین تعامل	Last interaction
آخرین جلسه	Last meeting
آزمون کد	Code test
آزمون کد دومرحله‌ای	Two-factor code test
آفلاین	Offline
آفلاین و حافظهٔ محلی	Offline & local cache
آلوده	Infected
آماده	Ready
آماده‌سازی جلسه	Meeting preparation
آنلاین	Online
آنچه همین حالا از این رابطه می‌دانید (اختیاری)	What you already know about this relationship (optional)
آنچه همین حالا دربارهٔ او می‌دانید (اختیاری)	What you already know about them (optional)
آگاه از مجوز	Permission-aware
آینده	Future
آینده‌نگر	Prospective
ابتدا دستگاه ساخته شود.	Register a device first.
ابتدا رضایت اعلان را بگیرید (دکمهٔ «درخواست رضایت اعلان»).	Grant notification permission first (the "Request notification permission" button).
ابتدا روز را انتخاب کنید	Pick a day first
اتصال به فرصت برداشته شد.	Opportunity link removed.
اتصال‌دهنده	Connector
اتصال‌دهنده‌ها	Connectors
اتوماسیون و هماهنگی	Automation & coordination
اثر	Impact
اجرا	Execution
اجرا شده	Executed
اجراهای گردش کار	Workflow executions
اجرای تحلیل:	Analysis run:
اجرای تحلیل: اتصال‌دهنده‌ها	Analysis run: connectors
اجرای گردش کار	Workflow execution
اجرای گردش کاری ثبت نشده	No workflow execution recorded
احتمال	Probability
احتمال موفقیت (۰ تا ۱۰۰)	Success probability (0–100)
احراز هویت امن + دومرحله‌ای	Secure auth + 2FA
احراز هویت دومرحله‌ای و کنترل دسترسی مبتنی بر نقش.	Two-factor authentication and role-based access control.
احراز هویت چندمرحله‌ای	Multi-factor authentication
احساس	Sense
اختصاص‌یافته	Assigned
اختلال در این گرهٔ غیربازاری می‌تواند دسترسی کل سگمنت را مسدود کند.	Disruption at this non-market node could block access to the entire segment.
ارائه‌دهندهٔ خارجی — همهٔ پردازش‌ها داخلی است	External provider — all processing stays in-house
ارتباط موفق	Successful connection
ارتباطات	Connections
ارتباط‌دهندهٔ کلیدی است؛ مسیرهای بین‌سازمانی را حول او تقویت کنید.	is a key connector; strengthen cross-organization paths around them.
ارجاع به سازمان/مخاطبِ حذف‌شده	Reference to a deleted organization/contact
ارجاع به موجودیت حذف‌شده یافت نشد.	No reference to a deleted entity found.
ارزش	Value
ارزش (ریال)	Value (IRR)
ارزش استراتژیک	Strategic value
ارزش در معرض ریسک	Value at risk
ارزش راهبردی	Strategic value
ارزش می‌سازند، روابط	relationships create value
ارزش و زمان	Value & timing
ارزش وزنی فرصت	Weighted opportunity value
ارزیابی	Assessment
ارزیابی انسانی	Human assessment
ارزیابی اولیه (اختیاری)	Initial assessment (optional)
ارزیابی معیارمحور	Criteria-based assessment
ارزیابی معیارها	Criteria assessment
ارزیابی معیارها در دسترس نیست	Criteria assessment unavailable
ارزیابی ناقص	Incomplete assessment
ارزیابی ناقص‌تر اول	Most incomplete first
ارزیابی کهنه	Stale assessment
ارزیابی…	Assessing…
ارسال	Send
ارسال آزمایشی به حساب	Test delivery to the account
ارسال به ایمیل سازمانی	Send to work email
ارسال خلاصهٔ روزانه	Send daily digest
ارسال خلاصهٔ هفتگی	Send weekly digest
ارسال درخواست بازیابی	Send recovery request
ارسال شد (	Sent (
ارسال شد.	Sent.
ارسال فقط برای اولویت بحرانی	Send only for critical priority
ارسال…	Sending…
از	from
از این پس ورود به کد ۶ رقمی نیاز دارد.	Sign-in will now require a 6-digit code.
از اینجا	From here
از برنامهٔ عموم‌ها	from the publics program
از تنظیمات مرورگر فعال کنید	Enable it in browser settings
از دست رفته	Lost
از دکمهٔ «اقدام جدید» برای ثبت نخستین اقدام استفاده کنید.	Use the "New action" button to record your first action.
از دکمهٔ «سازمان جدید» برای ثبت اولین سازمان استفاده کنید.	Use the "New organization" button to add your first organization.
از رفتار واقعی	from actual behavior
از نسبت موارد به پوشش	issues over coverage ratio
از کجا شروع کنم؟	Where do I start?
از کل	of total
از ۱۰۰	out of 100
از ۱۰۰ —	out of 100 —
استخراج اقدام	Extract action
استخراج تعهد	Extract commitment
استخراج خلاصه از متن یادداشت‌های جلسه	Summarize from meeting notes text
استراتژیک	Strategic
اسناد، دانش و قالب‌های اشتراکی	Documents, knowledge and shared templates
اشتراک اعلان این دستگاه	Notification subscription for this device
اشتراک اعلان فقط با رضایت صریح شما ثبت می‌شود و هر زمان قابل لغو است. پیام‌های پورتال و رسانه به‌طور خودکار به صف اعلان می‌روند. صفحات بازدیدشده برای استفادهٔ بدون اینترنت ذخیره می‌شوند.	Notification subscription is stored only with your explicit consent and can be revoked anytime. Portal and media messages are queued automatically. Visited pages are cached for offline use.
اشتراک این دستگاه	This device's subscription
اشتراک ثبت شد (	Subscription recorded (
اشتراک ثبت‌شده	Subscription recorded
اشتراکی	Shared
اشتراک‌های فعال	Active subscriptions
اشخاص	People
اشخاص · پروفایل	People · Profile
اشخاص مرتبط	Related people
اصل محصول	Product core
اصلی	Primary
اطلاع	Info
اطلاعات تماس	Contact information
اطلاعات تماس جدید	New contact info
اطلاعات جدید را وارد کنید؛ اعتبارسنجی نهایی در سرور انجام می‌شود.	Enter the new details; final validation happens on the server.
اطلاعات جدید را وارد کنید؛ مجوز و محدوده در سرور اعمال می‌شود.	Enter the new details; permission and scope are enforced by the server.
اطلاعات را وارد کنید؛ اعتبارسنجی نهایی در سرور انجام می‌شود.	Enter the details; final validation happens on the server.
اطلاعات را وارد کنید؛ مجوز و محدوده در سرور اعمال می‌شود.	Enter the details; permission and scope are enforced by the server.
اطلاعات رابطه	Relationship information
اطلاعات سازمان	Organization information
اطلاعات شخص	Person information
اطلاعات فردی	Personal information
اطلاعات نقش/محدوده از API دریافت نشد؛ سرور همچنان مرجع نهایی مجوزها است.	Role/scope info could not be fetched from the API; the server remains the source of truth for permissions.
اطلاعات پایه	Basic information
اطمینان به شواهد	Evidence confidence
اعتبار:	Valid until:
اعتماد	Trust
اعتماد امتیاز	Score trust
اعتماد امتیازها	Score confidence
اعضا	Members
اعضای سازمان	Organization members
اعطاشده	Granted
اعلان	Notification
اعلان آزمون SRIP	SRIP test notification
اعلان خوانده‌نشده	Unread notification
اعلان در این زمان	Notification at this time
اعلان درون‌برنامه‌ای	In-app notification
اعلان فشاری	Push notification
اعلان لحظه‌ای دستگاه	Instant device notification
اعلانی برای خلاصهٔ دوره‌ای نبود.	No notifications for the periodic digest.
اعلانی وجود ندارد	No notifications
اعلانی وجود ندارد.	No notifications.
اعلان‌ها	Notifications
اعلان‌ها در کانال‌های درون‌برنامه‌ای/ایمیل/فشاری، ترجیحات، خلاصهٔ دوره‌ای و گزارش تحویل — با واقعیت سرور.	Notifications across in-app/email/push channels, preferences, periodic digest and delivery report — true to the server.
اعلان‌ها و آفلاین	Notifications & offline
اعلان‌ها و آفلاین (PWA)	Notifications & offline (PWA)
اعلان‌های جدید (یادآوری، پیشنهاد هوشمند، سیستم) اینجا نمایش داده می‌شوند.	New notifications (reminders, smart suggestions, system) appear here.
افراد پل	Bridge people
افراد کلیدی هر سازمان و ارتباطات آن‌ها	Key people of each organization and their connections
افزودن	Add
افزودن اولین شخص	Add first person
افزودن شخص	Add person
افزودن صحنه از نمای فعلی شبکه	Add scene from current network view
افزودن وابستگی	Add dependency
اقتصادی	Economic
اقتصادی و سرمایه	Economic & capital
اقتصادی و سرمایه‌گذاری	Economic & investment
اقدام	Action
اقدام انجام‌شده	Completed action
اقدام با مالک و زمینهٔ رابطه ثبت می‌شود و در داشبورد و فهرست اقدامات ظاهر می‌شود.	Actions are recorded with an owner and relationship context, and appear on the dashboard and action list.
اقدام باز	Open action
اقدام بعدی	Next action
اقدام جدید	New action
اقدام جدید به برنامهٔ ۹۰ روزه اضافه شد.	New action added to the 90-day plan.
