بله	Yes
بله — دروازهٔ بازار	Yes — market gateway
به	to
به SRIP خوش آمدید	Welcome to SRIP
به تعویق افتاده	Snoozed
به نتیجه رسیده	Concluded
بهترین	Best
بهترین اقدام بعدی برای روابط کلیدی من چیست؟	What is the best next action for my key relationships?
به‌جای فهرست بلند، منو به شش خانهٔ کاری تقسیم شده: اشخاص و سازمان‌ها، روابط و شبکه، جریان کار، هوش و بینش، دانش. با «نمای ساده / نمای کامل» بالای منو، می‌توانید فقط کارهای روزمره را ببینید.	Instead of one long list, the menu is split into six workspaces: people & organizations, relationships & network, workflow, intelligence, knowledge. Use "Simple / Full view" atop the menu to see just the everyday items.
به‌روزرسانی	Update
به‌روزرسانی رابطه	Update relationship
به‌عنوان نقطهٔ ورود علامت‌گذاری شد.	Marked as entry point.
بپرس	Ask
بیشتر	More
بیشترین ارزش راهبردی	Highest strategic value
بیشترین استفاده از امکانات	Most feature usage
بیشترین اقدام باز	Most open actions
بیشترین تأثیر را در شبکه دارد.	has the highest impact on the network.
بیشترین ریسک	Highest risk
بیشترین ریسک اول	Highest risk first
بیشترین سرمایه / بیشترین ریسک	Most capital / most risk
بیشترین نفوذ	Highest influence
بین آن‌ها رابطه بسازید	Create a relationship between them
بینش	Insight
بینش‌ها	Insights
بی‌خیال	Dismiss
تأثیر	Impact
تأثیرگذاری	Influence
تأمین	Supply
تأمین‌کننده	Supplier
تأیید انسانی لازم است	Human confirmation required
تأیید ثبت	Confirm record
تأیید دومرحله‌ای غیرفعال است	Two-factor authentication is off
تأیید دومرحله‌ای فعال است	Two-factor authentication is on
تأیید دومرحله‌ای فعال شد.	Two-factor authentication enabled.
تأیید و بستن	Confirm & close
تأیید و دریافت کدهای بازیابی	Confirm & get recovery codes
تأیید کد	Verify code
تأییدشده	Verified
تأییدها	Approvals
تا	until
تا اینجا	So far
تا تاریخ	until date
تاب‌آوری	Resilience
تاب‌آوری رابطه	Relationship resilience
تاب‌آوری کل شبکه	Whole-network resilience
تاریخ	Date
تاریخ ایجاد	Created at
تاریخ به‌روزرسانی	Updated at
تاریخ تکمیل	Completed at
تاریخ ثبت	Recorded at
تاریخ داده	Data as of
تاریخ شروع	Start date
تاریخ مورد انتظار	Expected date
تاریخ‌های ازدست‌رفته	Missing dates
تبادل داده	Data exchange
تحت مالکیت	Owned by
تحت نظر	Watch
تحلیل راهبردی	Strategic analysis
تحلیل رقابت و تعامل راهبردی	Competitor & strategic-interaction analysis
تحلیل شبکه:	Network analysis:
تحلیل محصول	Product analytics
تحلیل و بینش	Analytics & insight
تحلیل پیشرفته شبکه	Advanced network analysis
تحلیل پیشرفتهٔ شبکه	Advanced network analysis
تحلیلگر	Analyst
تحویل	Delivery
تحویل شده در	Delivered at
تحویل‌های ثبت‌شده	Recorded deliveries
تراکم (سازمانی)	Density (organizational)
تراکم کل گراف	Overall graph density
تراکم، خوشه‌ها، رتبهٔ مرکزیت گره‌ها، گره‌های منفرد و شکاف‌های ارتباطی — خروجی کاملاً قطعی از پیوند‌های همین گراف	Density, clusters, node centrality ranks, isolated nodes and connection gaps — fully deterministic output from this graph's own edges
ترجیحات اعلان	Notification preferences
ترجیحات رابط روی این مرورگر ذخیره شد.	Interface preferences saved on this browser.
ترجیحات رابط کاربری	Interface preferences
ترکیب رفتار و ارزیابی	Behavior + assessment blend
ترکیب سرمایهٔ سطح اول با ریسک برای اولویت‌بندی هیئت	First-tier capital combined with risk for board prioritization
ترکیب منابع و تازگی شواهد	Blend of sources and evidence freshness
تشخیص اقدام‌های مشخص از متن — نیازمند تأیید انسانی	Detects concrete actions from text — human confirmation required
تشخیص تعهدهای طرفین از متن — نیازمند تأیید انسانی	Detects both sides' commitments from text — human confirmation required
تشخیص تکراری هنگام ثبت (پیش‌ثبت)	Duplicate detection on save (pre-commit)
تشخیص ریسک	Risk detection
تشخیص فرصت	Opportunity detection
تصمیم‌ها	Decisions
تعامل	Interaction
تعامل تازه‌ای با «	New interaction with "
تعامل:	Interaction:
تعاملات	Interactions
تعاملات اخیر با مشتریان کلیدی را نشان بده	Show recent interactions with key customers
تعاملات با مشتری	Customer interactions
تعاملات فصل	Interactions this quarter
تعامل‌ها	Interactions
تعداد تعاملات	Interaction count
تعداد جلسات	Meeting count
تعداد رکوردها	Record count
تعدیل‌شده با ریسک	Risk-adjusted
تعهد	Commitment
تعهد باز:	Open commitment:
تعهد طرف مقابل	Their commitment
تعهد ما	Our commitment
تعهد معوقی نیست.	No overdue commitments.
تعهد:	Commitment:
تعهدات	Commitments
تعهدات باز	Open commitments
تعهدات باز / معوق	Open / overdue commitments
تعهدات معوق	Overdue commitments
تعیین نشده	Not set
تعیین‌تکلیف‌شده	Resolved
تغییر به پوستهٔ تیره	Switch to dark theme
تغییر به پوستهٔ روشن	Switch to light theme
تغییر زمان بلافاصله اعمال می‌شود	Time changes apply immediately
تغییر موضع‌های فصل:	Stance changes this quarter:
تغییر وضعیت	Change status
تغییر وضعیت اقدام	Change action status
تغییرات ذخیره‌نشده را بررسی کنید و دوباره تلاش کنید.	Review your unsaved changes and try again.
تفکیک بازاری/غیربازاری و نقطهٔ ورود — روی هر ردیف بزنید تا جزئیات، تاریخچه و برنامه ۹۰ روزه را ببینید	Market/non-market split and entry point — tap any row for details, history and the 90-day plan
تقویت پیوند	Strengthen tie
تقویم	Calendar
تقویم ←	Calendar →
تلاش	Attempt
تلاش مجدد	Retry
تلفن	Phone
تماس	Call
تماس اصلی	Primary contact
تماس اولیه	Initial contact
تماسی ثبت نشده است.	No call recorded.
تمام صفحه	Fullscreen
تمرکز + همسایه‌ها	Focus + neighbors
تنظیم دستی	Manual override
تنظیم دستی امتیاز (برای کارشناس)	Manual score override (for experts)
تنظیم دستی منقضی	Manual override expired
تنظیم دستی:	Manual override:
تنظیم نشده	Not set
تنظیم واسطه‌گری	Configure intermediation
تنظیمات اعلان ذخیره شد.	Notification settings saved.
تنظیمات حساب و ترجیحات شما	Your account settings and preferences
تنظیمات من	My settings
تنظیمات واسطه‌گری «	Intermediation settings for "
تنظیمات کاربر	User settings
تنوع	Diversity
تهران (Asia/Tehran)	Tehran (Asia/Tehran)
تور خوش‌آمد	Welcome tour
توصیه‌های داده‌محور برای قدم بعدی	Data-driven next-step recommendations
توصیه‌های فصل آینده	Next-quarter recommendations
توصیه‌های هوشمند	Smart recommendations
توضیح	Description
توضیح (اختیاری)	Description (optional)
توضیح شاهد	Evidence description
توقف	Stop
توقف دریافت	Stop receiving
تولید خودکار · موتور قطعی	Auto-generated · deterministic engine
توکن بازیابی موجود نیست.	No recovery token available.
تکرار رمز عبور	Repeat password
تکمیل‌شده	Completed
تک‌شخص‌ها	Single-threaded
تیره	Dark
تیم ما	Our team
تیم ما متعهد شد نسخه اول را تحویل دهد و آن‌ها قول دادند زیرساخت را آماده کنند. موعد تحویل دو هفته آینده است.	Our team committed to delivering the first release and they promised to prepare the infrastructure. Delivery is due in two weeks.
ثبت	Record
ثبت ارزیابی	Record assessment
ثبت اقدام	Record action
ثبت اقدام جدید	Record new action
ثبت انجام‌شدن معرفی	Mark introduction as done
ثبت تحویل دانش	Record knowledge handover
ثبت تماس	Record call
ثبت رمز جدید	Set new password
ثبت سازمان	Record organization
ثبت سازمان جدید	Record new organization
ثبت شرکت‌ها · روزنامهٔ رسمی · پورتال نهادی	Company registry · Official Gazette · institutional portal
ثبت شواهد این بررسی	Record evidence of this review
ثبت نتیجه	Record outcome
ثبت نتیجهٔ معرفی	Record introduction outcome
ثبت نشده	Not recorded
ثبت واحد	Record unit
ثبت پالس	Record pulse
ثبت پیگیری پس از معرفی	Record post-introduction follow-up
ثبت یا اصلاح ارزیابی	Record or edit assessment
ثبت‌نام	Sign up
ثبت‌نام با موفقیت انجام شد	Sign-up completed
جابه‌جایی باید بین ۲۵- تا ۲۵+ باشد.	Offset must be between -25 and +25.
جانشین	Successor
جدا با ویرگول	Comma-separated
جدا با ویرگول؛ مثال: تخفیف جدید، تعهد حجم	Comma-separated; e.g. new discount, volume commitment
جدا با ویرگول؛ مثال: قیمت مصوب، زمان تحویل	Comma-separated; e.g. approved price, delivery time
جدید	New
جدیدترین	Newest
جزئیات	Details
جزئیات اقدام	Action details
جزئیات موتور و شفافیت	Engine details & transparency
جزئیات و ممیزی	Details & audit
جزئیات گره / پیوند	Node / edge details
جستجو	Search
جستجو اعمال شد	Search applied
جستجو در سازمان‌ها، افراد، جلسات، پروژه‌ها…	Search organizations, people, meetings, projects…
جستجو در شبکه	Search in network
جستجو و اعلان‌ها	Search & notifications
جستجوهای ذخیره‌شده	Saved searches
جستجوی آگاه از مجوزها روی موجودیت‌های اصلی — نتایج فقط از محدودهٔ مجاز شما.	Permission-aware search across core entities — results only from your permitted scope.
جستجوی سازمان، جلسه و تعامل در محدودهٔ مجاز	Search organizations, meetings and interactions within permitted scope
جستجوی سازمان، شخص یا پروژه…	Search organization, person or project…
جستجوی سازمان، مالک یا سگمنت…	Search organization, owner or segment…
جستجوی سراسری	Global search
