رد معرفی	Reject referral
ردشده	Rejected
رسانه	Media
رسانه‌ای	Media
رسانه‌ای و عمومی	Media & public
رشد	Growth
رصد منابع منتخب	Monitoring selected sources
رضایت اعلان مرورگر	Browser notification permission
رضایت‌ها و درخواست‌های حق داده	Consents & data-right requests
رفتن به صفحهٔ ورود	Go to sign-in page
رقبا	Competitors
رمز عبور	Password
رمز عبور با موفقیت تغییر کرد	Password changed successfully
رمز عبور باید حداقل	Password must be at least
رمز عبور جدید	New password
رمز عبور جدید خود را با استفاده از توکن بازیابی ثبت کنید.	Set your new password using the recovery token.
رمز عبور را فراموش کرده‌اید؟	Forgot your password?
رمز عبور و تکرار آن یکسان نیستند.	Password and repeat password don't match.
رو به رشد	Rising
روابط	Relationships
روابط (	Relationships (
روابط بازاری ارزش می‌سازند، روابط غیربازاری مسیر را باز/مسدود می‌کنند — نقطهٔ ورود، دروازهٔ شما به هر سگمنت است	Market relationships create value; non-market relationships open or block the path — your entry point is your gateway to every segment.
روابط ثبت‌شده	Recorded relationships
روابط سازمان	Organization relationships
روابط سازمانی	Organizational relationships
روابط فعال	Active relationships
روابط مرتبط	Related relationships
روابط مستقیم	Direct relationships
روابط نیازمند توجه	Relationships needing attention
روابط پرریسک	High-risk relationships
روابط کهنه	Stale relationships
روز	day
روز دیگر	days left
روز عقب	days behind
روز پیش	days ago
روز پیش:	days ago:
روزانه	Daily
روزهای نگهداری	retention days
روشن	Light
روند ۹۰ روزه	90-day trend
روند ۹۰روزه	90-day trend
روی موبایل با دو انگشت زوم کنید؛ دوباره‌لمس روی زمینه هم بزرگ‌نمایی می‌کند	On mobile, pinch to zoom; double-tap on the background also zooms in
روی هر رابطهٔ پرریسک بزنید تا دلیلش را ببینید، و اگر نام بخشی را نمی‌دانید، دکمهٔ «؟» پایین منو واژه‌نامهٔ یک‌خطی را باز می‌کند.	Tap any high-risk relationship to see why; if a section name is unclear, the "?" button at the bottom of the menu opens a one-line glossary.
روی هر نتیجه کلیک کنید تا همان گره در گراف انتخاب شود.	Click any result to select that node in the graph.
رویداد	Event
رویدادهای امنیتی	Security events
رویدادهای برنامه‌ریزی‌شده در محدودهٔ شما	Scheduled events in your scope
رویدادهای ثبت‌شده برای این موجودیت	Events recorded for this entity
رویدادهای ثبت‌شده توسط سرور	Events recorded by the server
رویدادهای واقعی تعامل شما با این صفحه در جلسه فعلی.	Actual events of your interaction with this page in the current session.
رویدادی ثبت نشده است.	No event recorded.
رویدادی در خط زمانی این رابطه ثبت نشده است — نخستین جلسه یا تعامل را ثبت کنید.	No event in this relationship's timeline — record the first meeting or interaction.
رکود تعامل	Interaction stagnation
ریسک	Risk
ریسک «	Risk "
ریسک تک‌نقطه	Single-point risk
ریسک ۴۰+ یا سلامت زیر ۵۵	Risk 40+ or health below 55
ریسک‌نامه:	Risk register:
زمان	Time
زمان ایجاد	Created at
